TABLA DE TOKENS - JERCompiler
Archivo: ..\pruebas\prueba_errores_robustos.txt
No.   | Lexema               | Token                        | Línea  | Columna
------+----------------------+------------------------------+--------+--------
1     | ENT                  | ENT                          | 2      | 1
2     | datos                | <IDENTIFICADOR>              | 2      | 5
3     | [                    | [                            | 2      | 10
4     | 3                    | <NUMERO_ENTERO>              | 2      | 11
5     | ->                   | ->                           | 2      | 13
6     | [                    | [                            | 2      | 16
7     | 1                    | <NUMERO_ENTERO>              | 2      | 17
8     | ,                    | ,                            | 2      | 18
9     | 2                    | <NUMERO_ENTERO>              | 2      | 20
10    | ]                    | ]                            | 2      | 21
11    | ;                    | ;                            | 2      | 22
12    | ENT                  | ENT                          | 3      | 1
13    | vacio                | <IDENTIFICADOR>              | 3      | 5
14    | [                    | [                            | 3      | 10
15    | ]                    | ]                            | 3      | 11
16    | ->                   | ->                           | 3      | 13
17    | [                    | [                            | 3      | 16
18    | ]                    | ]                            | 3      | 17
19    | ;                    | ;                            | 3      | 18
20    | FUN                  | FUN                          | 5      | 1
21    | parametroInvalido    | <IDENTIFICADOR>              | 5      | 5
22    | (                    | (                            | 5      | 22
23    | ENT                  | ENT                          | 5      | 23
24    | limite               | <IDENTIFICADOR>              | 5      | 27
25    | ,                    | ,                            | 5      | 33
26    | valor                | <IDENTIFICADOR>              | 5      | 35
27    | )                    | )                            | 5      | 40
28    | {                    | {                            | 5      | 42
29    | RET                  | RET                          | 6      | 5
30    | limite               | <IDENTIFICADOR>              | 6      | 9
31    | ;                    | ;                            | 6      | 15
32    | }                    | }                            | 7      | 1
33    | FUN                  | FUN                          | 9      | 1
34    | indiceInvalido       | <IDENTIFICADOR>              | 9      | 5
35    | (                    | (                            | 9      | 19
36    | )                    | )                            | 9      | 20
37    | {                    | {                            | 9      | 22
38    | datos                | <IDENTIFICADOR>              | 10     | 5
39    | [                    | [                            | 10     | 10
40    | 0                    | <NUMERO_ENTERO>              | 10     | 11
41    | ->                   | ->                           | 10     | 13
42    | 3                    | <NUMERO_ENTERO>              | 10     | 16
43    | ;                    | ;                            | 10     | 17
44    | }                    | }                            | 11     | 1
45    | FUN                  | FUN                          | 13     | 1
46    | cadenaInvalida       | <IDENTIFICADOR>              | 13     | 5
47    | (                    | (                            | 13     | 19
48    | )                    | )                            | 13     | 20
49    | {                    | {                            | 13     | 22
50    | IMP                  | IMP                          | 14     | 5
51    | "cadena sin cerrar   | <STRING_NO_CERRADA>          | 14     | 9
52    | }                    | }                            | 15     | 1
53    | FUN                  | FUN                          | 17     | 1
54    | condicionInvalida    | <IDENTIFICADOR>              | 17     | 5
55    | (                    | (                            | 17     | 22
56    | ENT                  | ENT                          | 17     | 23
57    | limite               | <IDENTIFICADOR>              | 17     | 27
58    | )                    | )                            | 17     | 33
59    | {                    | {                            | 17     | 35
60    | SI                   | SI                           | 18     | 5
61    | limite               | <IDENTIFICADOR>              | 18     | 8
62    | {                    | {                            | 18     | 15
63    | IMP                  | IMP                          | 18     | 17
64    | limite               | <IDENTIFICADOR>              | 18     | 21
65    | ;                    | ;                            | 18     | 27
66    | }                    | }                            | 18     | 29
67    | }                    | }                            | 19     | 1
68    | }                    | }                            | 22     | 1
69    | ENT                  | ENT                          | 23     | 1
70    | posterior            | <IDENTIFICADOR>              | 23     | 5
71    | ->                   | ->                           | 23     | 15
72    | 42                   | <NUMERO_ENTERO>              | 23     | 18
73    | ;                    | ;                            | 23     | 20
74    | ENT                  | ENT                          | 24     | 1
75    | precio               | <IDENTIFICADOR>              | 24     | 5
76    | ->                   | ->                           | 24     | 12
77    | 100                  | <NUMERO_ENTERO>              | 24     | 15
78    | $                    | <ERROR_LEXICO>               | 24     | 18
79    | ;                    | ;                            | 24     | 19
