TABLA DE TOKENS - JERCompiler
Archivo: C:\Users\h_hor\Documents\ITVER\7moSemestre\LenguajesAutomatas2\JERCompiler\.\pruebas\prueba_tabla_simbolos.txt
No.   | Lexema               | Token                        | Linea  | Columna
------+----------------------+------------------------------+--------+--------
1     | CAD                  | CAD                          | 1      | 1
2     | hola                 | <IDENTIFICADOR>              | 1      | 5
3     | ->                   | ->                           | 1      | 10
4     | "Hola"               | <CADENA>                     | 1      | 13
5     | ;                    | ;                            | 1      | 19
6     | CAD                  | CAD                          | 2      | 1
7     | mundo                | <IDENTIFICADOR>              | 2      | 5
8     | ->                   | ->                           | 2      | 11
9     | "Mundo"              | <CADENA>                     | 2      | 14
10    | ;                    | ;                            | 2      | 21
11    | FUN                  | FUN                          | 4      | 1
12    | VACIO                | VACIO                        | 4      | 5
13    | pruebaFuncion        | <IDENTIFICADOR>              | 4      | 11
14    | (                    | (                            | 4      | 24
15    | )                    | )                            | 4      | 25
16    | {                    | {                            | 4      | 26
17    | BOO                  | BOO                          | 5      | 5
18    | bandera              | <IDENTIFICADOR>              | 5      | 9
19    | ->                   | ->                           | 5      | 17
20    | VERDADERO            | VERDADERO                    | 5      | 20
21    | ;                    | ;                            | 5      | 29
22    | HACER                | HACER                        | 6      | 5
23    | {                    | {                            | 6      | 10
24    | IMP                  | IMP                          | 7      | 9
25    | hola                 | <IDENTIFICADOR>              | 7      | 13
26    | +                    | +                            | 7      | 18
27    | mundo                | <IDENTIFICADOR>              | 7      | 20
28    | ;                    | ;                            | 7      | 25
29    | }                    | }                            | 8      | 5
30    | MIENTRAS             | MIENTRAS                     | 8      | 6
31    | (                    | (                            | 8      | 15
32    | bandera              | <IDENTIFICADOR>              | 8      | 16
33    | =                    | =                            | 8      | 24
34    | VERDADERO            | VERDADERO                    | 8      | 26
35    | )                    | )                            | 8      | 35
36    | ;                    | ;                            | 8      | 36
37    | }                    | }                            | 9      | 1
